,bounds_fid,area_km2,population,business_and_services_count,active_life_count,arts_and_entertainment_count,public_services_count,retail_count,health_and_medical_count,eat_and_drink_count,education_count,attractions_and_activities_count,religious_count,accommodation_count
count,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0
mean,349.0,84.14452751935306,242190.39572798857,3706.0042918454938,371.85407725321886,196.57510729613733,425.692417739628,2001.450643776824,631.9642346208869,1133.7982832618027,430.16165951359085,258.77396280400575,108.07296137339056,204.10014306151646
std,201.92820506308672,121.80923137539368,549497.5020073665,7308.71116807724,700.7068035357712,413.4957770074094,879.3860394637528,4019.5119236857804,1195.9801306589668,2585.437451293866,844.5410875818068,570.0796685465529,214.76522558102403,502.17183184270164
min,0.0,8.128869297404426,13045.079546817526,135.0,13.0,1.0,9.0,49.0,11.0,14.0,10.0,7.0,3.0,1.0
25%,174.5,38.31709432307524,74620.74507136989,1109.5,109.5,51.0,107.0,620.5,168.0,287.0,120.0,60.0,31.0,35.5
50%,349.0,52.225085486300024,103614.19345876963,1708.0,182.0,88.0,194.0,991.0,300.0,498.0,201.0,106.0,51.0,77.0
75%,523.5,80.45633218036726,195999.9422651396,3064.5,315.0,165.5,371.0,1688.0,567.5,901.5,375.0,209.0,93.5,161.0
max,698.0,1835.9099116670106,9773324.599915627,103597.0,9583.0,5891.0,14537.0,58573.0,13009.0,41241.0,12290.0,9015.0,3085.0,7485.0
