City,Country,Nodes,% Full Access,Mean Completeness,Median Categories,% >= 6 Categories,% >= 9 Categories
Vilnius,LT,48177,81.7,1.0,10.0,99.4,95.3
Poznań,PL,60798,81.6,1.0,10.0,99.7,94.6
Setúbal (São Sebastião),PT,5990,81.6,1.0,10.0,99.3,95.3
Padova,IT,24817,81.6,1.0,10.0,99.4,93.7
Alessandria,IT,4411,81.5,1.0,10.0,98.4,93.1
Grenoble,FR,28434,81.5,1.0,10.0,99.3,93.7
Höchberg,DE,16080,81.5,1.0,10.0,99.1,92.0
Ferrara,IT,9484,81.5,1.0,10.0,99.4,94.0
Perugia,IT,8099,81.3,1.0,10.0,98.3,91.2
Asti,IT,4288,81.3,1.0,10.0,98.6,91.8
Parma,IT,11823,81.3,1.0,10.0,99.5,93.0
Bergisch Gladbach,DE,83032,81.2,1.0,10.0,99.1,92.5
Zürich,CH,89636,81.2,1.0,10.0,99.0,93.4
Carpi,IT,4835,81.1,1.0,10.0,99.7,93.2
"Braga (Maximinos, Sé e Cividade)",PT,11000,81.0,1.0,10.0,99.3,92.0
Kecskemét,HU,4936,81.0,1.0,10.0,100.0,95.7
Szeged,HU,10300,80.9,1.0,10.0,99.7,93.7
Saint-Julien-en-Genevois,CH,34784,80.9,1.0,10.0,99.4,93.1
Brugge,BE,13117,80.8,1.0,10.0,99.5,94.4
Wrocław,PL,65413,80.8,1.0,10.0,99.6,94.6
Wittenbach,CH,10818,80.7,1.0,10.0,98.3,90.3
Innenstadt 1,DE,78911,80.5,1.0,10.0,98.8,92.7
Nyíregyháza,HU,5672,80.4,1.0,10.0,99.4,90.1
Klagenfurt,AT,11972,80.3,1.0,10.0,99.6,91.5
Košice,SK,19195,80.3,1.0,10.0,99.3,95.1
Zwijndrecht,NL,29780,80.3,1.0,10.0,99.6,94.8
Lecco,IT,5011,80.3,1.0,10.0,97.5,89.7
Lappersdorf,DE,17758,80.2,1.0,10.0,99.6,93.6
Neusäß,DE,40506,80.2,1.0,10.0,99.3,94.7
Grasse,FR,10586,80.1,1.0,10.0,98.9,92.6
Бургас,BG,4033,80.1,1.0,10.0,98.6,95.5
Tartu linn,EE,11135,80.1,1.0,10.0,100.0,93.8
Gironès,ES,10238,80.1,1.0,10.0,98.8,91.8
Forlì,IT,6535,80.1,1.0,10.0,99.3,92.3
Tallinn,EE,39842,80.0,1.0,10.0,99.9,96.5
Neureut,DE,31409,80.0,1.0,10.0,99.5,92.4
Kielce,PL,21550,79.9,1.0,10.0,99.9,94.6
Eivissa,ES,4925,79.9,1.0,10.0,98.6,89.6
Costa del Sol Occidental,ES,7478,79.9,1.0,10.0,99.5,92.4
Aix-en-Provence,FR,8752,79.9,1.0,10.0,98.4,91.5
"Innenstadt, Frankfurt (Oder)",DE,6982,79.8,1.0,10.0,99.2,90.5
Žilina,SK,9961,79.7,1.0,10.0,99.0,95.2
La Spezia,IT,6091,79.7,1.0,10.0,98.8,88.0
Rzeszów,PL,21582,79.6,1.0,10.0,99.9,92.3
Altstadt,DE,15053,79.5,1.0,10.0,99.3,93.3
Cotta,DE,56055,79.5,1.0,10.0,99.5,94.9
Sassari,IT,7350,79.5,1.0,10.0,98.9,90.7
Oostende,BE,9836,79.4,1.0,10.0,99.8,96.6
Ortsbeirat 14 : Stadtmitte,DE,11940,79.4,1.0,10.0,99.7,92.4
Klampenborg,DK,119116,79.4,1.0,10.0,99.7,95.3
La Rochelle,FR,8843,79.4,1.0,10.0,99.9,96.1
Rudicica,RO,19964,79.3,1.0,10.0,99.4,91.3
Altstadt,DE,26712,79.2,1.0,10.0,98.6,91.4
Hilversum,NL,10208,79.1,1.0,10.0,99.4,91.9
la Marina Baixa,ES,6098,79.1,1.0,10.0,97.4,87.4
Hengelo,NL,11667,79.1,1.0,10.0,99.0,94.0
Stadtbezirk Bonn,DE,64073,78.9,1.0,10.0,99.1,92.0
Avignon,FR,11646,78.9,1.0,10.0,99.1,90.0
Brescia,IT,22335,78.9,1.0,10.0,98.7,91.1
Cork,IE,16288,78.8,1.0,10.0,99.2,92.2
Szczecin,PL,28071,78.8,1.0,10.0,99.7,94.5
Praha,CZ,105763,78.8,1.0,10.0,99.7,95.6
Apeldoorn,NL,21912,78.8,1.0,10.0,99.8,95.9
Gdynia,PL,17108,78.8,1.0,10.0,99.2,93.9
Rijeka,HR,9384,78.8,1.0,10.0,99.4,91.7
Prato,IT,14414,78.7,1.0,10.0,99.1,90.8
Nord,DE,23519,78.6,1.0,10.0,98.8,89.6
Santo António dos Olivais,PT,8511,78.5,1.0,10.0,99.3,95.9
Wals-Siezenheim,AT,17731,78.4,1.0,10.0,99.6,93.1
Zug,CH,9608,78.4,1.0,10.0,99.2,91.4
Tarbes,FR,6598,78.4,1.0,10.0,99.9,94.6
Zirndorf,DE,57095,78.4,1.0,10.0,99.5,92.5
Bayonne,FR,13983,78.3,1.0,10.0,99.8,95.5
Paderborn,DE,14094,78.2,1.0,10.0,99.5,91.8
Κατσικάς,GR,6943,78.2,1.0,10.0,99.8,90.0
Kortrijk,BE,13581,78.2,1.0,10.0,99.6,94.4
Vicenza,IT,7936,78.1,1.0,10.0,99.2,93.8
Satu Mare,RO,4875,78.1,1.0,10.0,98.4,89.3
Debrecen,HU,11534,78.0,1.0,10.0,99.9,91.4
Lefkoşa Türk Belediyesi,CY,26512,78.0,1.0,10.0,99.8,92.6
Uttenreuth (VGem),DE,17334,77.9,1.0,10.0,99.0,91.3
Winterthur,CH,15775,77.9,1.0,10.0,98.8,91.8
Szombathely,HU,5478,77.9,1.0,10.0,98.3,90.3
Basel,CH,45232,77.8,1.0,10.0,98.7,90.4
Münster-Mitte,DE,22077,77.8,1.0,10.0,99.1,93.9
el Baix Segura / La Vega Baja,ES,8205,77.7,1.0,10.0,99.5,91.5
Győr,HU,7342,77.6,1.0,10.0,99.7,91.0
Bergen op Zoom,NL,7054,77.5,1.0,10.0,99.6,92.9
Luzern,CH,20636,77.4,1.0,10.0,99.1,92.2
"Gartenstadt, Wendelhöfen",DE,9955,77.4,1.0,10.0,99.7,92.4
Böckingen,DE,13914,77.4,1.0,10.0,98.6,88.8
Metz,FR,17329,77.3,1.0,10.0,99.5,93.7
Duisburg-Mitte,DE,15578,77.3,1.0,10.0,99.5,92.9
Plzeň,CZ,11220,77.2,1.0,10.0,99.3,95.1
Montpellier,FR,28213,77.2,1.0,10.0,99.7,93.9
Pisa,IT,13920,77.1,1.0,10.0,99.4,90.7
Brno,CZ,34105,77.1,1.0,10.0,99.2,92.9
Venlo,NL,13403,77.1,1.0,10.0,99.1,91.6
Nijmegen,NL,21993,77.0,1.0,10.0,99.6,94.2
Aldrans,AT,12966,77.0,1.0,10.0,98.7,93.1
Latgales apkaime,LV,59251,76.9,1.0,10.0,99.9,95.5
Trento,IT,8873,76.8,1.0,10.0,98.7,90.0
Böblingen,DE,13286,76.7,1.0,10.0,99.0,90.7
