bounds_fid,city_label,country,n_nodes,mean_diversity,median_diversity,mean_centrality,mean_density_norm,mean_density_raw,mean_transport_access,pct_mixed_dense,pct_mixed_opportunity,pct_single_dense,pct_single_low,pct_intermediate,pct_development_opportunity,mixed_use_score
364,Verwaltungsgemeinschaft Konstanz,DE,13660,0.46,0.49,0.48,0.34,3415.13,0.50,19.71,1.22,0.85,19.52,58.70,0.01,0.33
365,Baciu,RO,24026,0.46,0.50,0.37,0.27,5038.22,0.50,17.33,0.26,0.82,22.32,59.26,0.00,0.32
366,Székesfehérvár,HU,8636,0.45,0.47,0.39,0.34,3251.59,0.50,21.78,0.93,0.09,20.41,56.79,0.00,0.34
368,Basel,CH,56141,0.44,0.46,0.46,0.26,3275.52,0.50,18.59,1.12,1.37,20.51,58.41,0.02,0.32
369,Winterthur,CH,22573,0.42,0.45,0.45,0.41,2703.95,0.50,21.34,0.67,0.54,20.23,57.21,0.00,0.32
371,Baden,CH,16389,0.35,0.36,0.41,0.32,2020.68,0.50,19.89,0.84,2.01,23.72,53.54,0.01,0.28
372,Szombathely,HU,7494,0.43,0.44,0.44,0.40,3021.44,0.50,19.79,0.51,0.15,22.38,57.18,0.00,0.32
373,Wittenbach,CH,15012,0.44,0.47,0.37,0.38,2595.79,0.50,20.58,1.40,0.66,20.12,57.24,0.07,0.33
375,Aarau,CH,14545,0.40,0.42,0.43,0.51,1929.01,0.50,19.29,0.32,0.52,21.92,57.94,0.00,0.30
377,Kecskemét,HU,7060,0.49,0.53,0.42,0.39,3340.39,0.50,19.15,0.68,0.10,21.50,58.57,0.00,0.35
378,Bourges,FR,11542,0.40,0.38,0.48,0.38,1794.05,0.50,20.36,0.42,2.05,19.10,58.07,0.00,0.30
379,Küsnacht (ZH),CH,2559,0.55,0.59,0.51,0.36,3644.05,0.50,10.98,3.91,4.18,14.89,66.04,1.68,0.35
382,Aldrans,AT,17080,0.43,0.46,0.42,0.34,3839.48,0.50,19.63,1.29,0.15,20.37,58.57,0.19,0.32
383,Zürich,CH,108404,0.48,0.52,0.42,0.30,3867.21,0.50,19.49,0.79,0.80,20.94,57.98,0.01,0.34
384,Zug,CH,12492,0.42,0.45,0.41,0.44,2453.71,0.50,16.20,0.61,0.90,22.12,60.17,0.00,0.29
385,Seiersberg-Pirka,AT,37891,0.44,0.44,0.44,0.32,3361.88,0.50,20.39,1.41,1.15,21.46,55.60,0.06,0.33
386,Biel/Bienne,CH,11045,0.41,0.40,0.40,0.36,3113.05,0.50,19.09,1.09,0.30,19.93,59.60,0.00,0.30
388,Luzern,CH,28740,0.43,0.45,0.44,0.34,2838.80,0.50,17.38,1.26,2.21,19.06,60.09,0.07,0.31
391,Bern,CH,32338,0.45,0.48,0.43,0.36,3207.31,0.50,21.42,0.42,0.41,21.67,56.07,0.01,0.33
393,Fribourg - Freiburg,CH,12458,0.39,0.39,0.46,0.36,2182.84,0.50,20.37,0.95,1.41,20.90,56.37,0.00,0.30
394,Brașov,RO,15260,0.52,0.60,0.49,0.32,5831.26,0.50,12.99,0.59,0.83,21.91,63.69,0.30,0.33
396,Thun,CH,11930,0.39,0.41,0.43,0.38,2108.07,0.50,15.90,1.43,0.64,18.88,63.15,0.31,0.28
398,La Rochelle,FR,15189,0.49,0.53,0.51,0.50,inf,0.50,30.03,0.00,30.11,0.00,39.85,16.27,0.40
399,Szeged,HU,15359,0.45,0.50,0.41,0.33,3676.06,0.50,18.53,0.42,0.12,21.95,58.97,0.00,0.32
400,Sibiu,RO,11733,0.47,0.49,0.46,0.34,3943.93,0.50,17.82,0.89,1.26,20.91,59.12,0.00,0.33
401,Klagenfurt,AT,13957,0.48,0.50,0.49,0.45,2590.41,0.50,18.03,1.93,1.66,19.70,58.68,0.00,0.34
403,Sântuhalm,RO,5564,0.30,0.12,0.31,0.48,1640.24,0.50,23.47,0.07,1.40,25.04,50.02,0.00,0.27
404,Lausanne,CH,35880,0.50,0.53,0.46,0.32,4202.15,0.50,19.10,0.45,1.28,18.78,60.38,0.06,0.35
405,Bolzano - Bozen,IT,7495,0.44,0.49,0.44,0.28,4910.74,0.50,20.63,0.21,0.67,20.05,58.44,0.00,0.32
407,Montreux,CH,9780,0.40,0.36,0.43,0.29,2940.94,0.50,19.00,1.30,0.95,18.07,60.69,0.00,0.30
408,Pécs,HU,12121,0.46,0.48,0.38,0.42,2547.26,0.50,20.95,0.00,0.16,21.01,57.88,0.00,0.34
409,Rudicica,RO,26579,0.47,0.49,0.45,0.34,3624.40,0.50,18.82,0.33,0.29,22.91,57.65,0.00,0.33
410,Saint-Julien-en-Genevois,CH,42421,0.50,0.52,0.35,0.28,5868.80,0.50,20.97,0.95,0.55,19.02,58.50,0.00,0.36
411,Roanne,FR,10766,0.38,0.38,0.48,0.31,1837.21,0.50,18.60,0.80,2.30,19.01,59.28,0.04,0.29
414,Ljubljana,SI,36493,0.44,0.49,0.46,0.35,3486.13,0.50,20.88,0.67,0.48,22.18,55.79,0.00,0.33
415,Udine / Udin,IT,13031,0.46,0.50,0.43,0.44,2567.49,0.50,20.50,1.59,0.94,17.30,59.67,0.06,0.34
417,Valea Voievozilor,RO,4033,0.55,0.62,0.53,0.43,5147.75,0.50,12.92,0.72,1.04,20.18,65.14,0.00,0.34
418,Trento,IT,14946,0.41,0.38,0.35,0.33,2750.05,0.50,21.18,0.41,1.26,19.84,57.31,0.00,0.31
420,Lugano,CH,11325,0.44,0.48,0.48,0.29,2748.87,0.50,20.59,2.08,1.99,18.13,57.22,0.17,0.34
421,Pordenone / Pordenon,IT,10823,0.42,0.44,0.39,0.35,1999.29,0.50,19.04,2.38,1.21,20.73,56.63,0.00,0.32
423,Annecy,FR,18974,0.43,0.45,0.42,0.33,3413.83,0.50,20.62,1.49,1.06,17.01,59.81,0.00,0.33
424,Zagreb,HR,59496,0.52,0.58,0.47,0.36,5149.60,0.50,15.88,0.87,0.84,22.06,60.35,0.04,0.34
425,Osijek,HR,9030,0.48,0.50,0.38,0.45,3041.93,0.50,17.79,0.32,0.44,21.52,59.93,0.00,0.33
428,Lecco,IT,7149,0.39,0.42,0.41,0.35,2703.52,0.50,20.55,0.66,0.81,22.24,55.74,0.03,0.30
430,Varese,IT,11828,0.42,0.43,0.37,0.38,2235.88,0.50,17.64,0.52,2.00,21.43,58.41,0.14,0.30
432,Como,IT,18481,0.37,0.36,0.40,0.26,2081.29,0.50,18.41,1.18,3.27,19.37,57.77,0.25,0.29
435,Treviso,IT,9625,0.53,0.56,0.38,0.42,2887.69,0.50,16.94,1.74,2.25,17.77,61.31,0.00,0.36
436,Bergamo,IT,41833,0.41,0.42,0.44,0.30,2379.80,0.50,18.02,1.90,2.31,20.63,57.13,0.22,0.31
437,Gallarate,IT,17720,0.41,0.41,0.45,0.42,2101.36,0.50,18.70,0.69,1.49,18.80,60.32,0.00,0.30
443,Vicenza,IT,10068,0.51,0.58,0.42,0.40,2882.36,0.50,17.75,1.07,0.22,20.80,60.16,0.00,0.35
444,Brescia,IT,30497,0.43,0.48,0.34,0.31,2721.41,0.50,19.74,0.40,0.68,21.77,57.41,0.00,0.32
447,Verona,IT,17137,0.54,0.62,0.42,0.46,4297.89,0.50,17.35,0.77,0.53,21.72,59.63,0.00,0.36
448,Rijeka,HR,13335,0.46,0.48,0.46,0.47,3338.03,0.50,17.17,2.29,2.31,18.58,59.65,0.00,0.33
449,Venezia,IT,6764,0.70,0.75,0.41,0.19,9349.09,0.50,8.28,3.43,5.00,17.50,65.79,0.00,0.41
452,Padova,IT,29710,0.49,0.53,0.42,0.34,2880.64,0.50,18.26,1.60,1.28,18.78,60.07,0.03,0.34
453,Milano,IT,227228,0.51,0.55,0.33,0.26,5131.50,0.50,19.77,1.60,1.19,19.53,57.92,0.14,0.36
455,Bordeaux,FR,87059,0.46,0.48,0.42,0.24,3552.79,0.50,19.70,1.52,1.49,17.31,59.98,0.13,0.34
456,Grenoble,FR,41199,0.45,0.49,0.39,0.26,4408.97,0.50,20.23,1.19,0.97,20.32,57.28,0.37,0.33
458,Pavia,IT,7255,0.48,0.54,0.37,0.38,2702.26,0.50,21.21,1.46,0.07,22.14,55.12,0.37,0.35
459,Cremona,IT,6138,0.47,0.49,0.45,0.41,3149.02,0.50,22.42,0.70,0.15,19.47,57.27,0.00,0.35
464,Piacenza,IT,7434,0.51,0.59,0.50,0.36,4186.97,0.50,16.36,1.49,0.40,19.90,61.85,0.00,0.34
467,Asti,IT,5505,0.45,0.47,0.39,0.41,3837.47,0.50,24.52,0.00,0.00,23.29,52.19,0.00,0.35
468,Alessandria,IT,5417,0.53,0.62,0.44,0.38,3971.47,0.50,21.69,0.20,0.41,21.88,55.82,0.00,0.37
469,Ferrara,IT,12890,0.46,0.49,0.44,0.36,2585.91,0.50,19.74,0.62,0.95,21.04,57.64,0.00,0.33
470,Parma,IT,14297,0.50,0.53,0.46,0.41,3918.55,0.50,20.72,1.55,0.19,19.17,58.38,0.00,0.36
471,Carpi,IT,6372,0.48,0.51,0.53,0.42,3031.60,0.50,18.71,0.85,0.47,20.54,59.43,0.00,0.34
475,Reggio Emilia,IT,14628,0.49,0.53,0.39,0.36,3154.58,0.50,20.21,1.37,0.84,19.74,57.84,0.00,0.35
477,Modena,IT,14782,0.55,0.60,0.47,0.44,4284.52,0.50,18.53,1.22,1.10,19.31,59.85,0.00,0.37
479,Santiago,ES,11764,0.49,0.57,0.49,0.32,3711.08,0.50,19.80,0.24,0.37,23.07,56.52,0.00,0.35
481,Bologna,IT,34622,0.51,0.57,0.37,0.34,4724.29,0.50,20.65,0.95,0.80,20.22,57.38,0.00,0.36
483,Ravenna,IT,8922,0.51,0.56,0.52,0.46,3136.69,0.50,17.93,0.96,0.74,21.86,58.51,0.00,0.35
486,Savona,IT,6826,0.44,0.46,0.38,0.13,49537.40,0.50,14.64,0.38,2.89,23.16,58.94,0.03,0.29
487,Велико Търново,BG,5618,0.44,0.47,0.43,0.42,3876.69,0.50,13.58,2.24,1.05,21.41,61.71,0.00,0.30
488,Zadar,HR,7459,0.52,0.54,0.51,0.43,2942.70,0.50,19.49,1.17,0.38,20.86,58.10,0.01,0.36
489,Forlì,IT,8191,0.50,0.54,0.36,0.41,2897.78,0.50,21.51,1.29,0.46,19.73,57.00,0.00,0.36
491,Bayonne,FR,18509,0.48,0.51,0.49,0.50,inf,0.50,30.00,0.00,30.33,0.00,39.67,18.66,0.39
492,La Spezia,IT,9131,0.42,0.40,0.36,0.19,16308.09,0.50,19.65,0.19,2.80,21.09,56.27,0.00,0.31
493,Rimini,IT,12875,0.58,0.62,0.47,0.09,7236.03,0.50,16.59,1.00,0.78,21.38,60.25,0.00,0.38
494,Avignon,FR,16854,0.45,0.46,0.43,0.40,2866.50,0.50,19.84,2.11,1.54,17.30,59.23,0.39,0.34
497,Бургас,BG,5922,0.59,0.67,0.51,0.47,8013.76,0.50,12.77,2.75,0.59,23.02,60.87,1.49,0.37
502,Pesaro,IT,6687,0.55,0.64,0.45,0.12,12871.00,0.50,17.95,0.52,1.94,23.52,56.06,0.00,0.37
506,Prato,IT,20100,0.44,0.46,0.39,0.29,3046.28,0.50,18.37,0.87,1.22,19.03,60.51,0.14,0.32
507,Pau,FR,16948,0.45,0.48,0.49,0.35,2844.82,0.50,19.11,2.11,1.04,17.96,59.78,0.00,0.33
509,Montpellier,FR,38538,0.49,0.52,0.34,0.32,4466.68,0.50,18.70,0.96,1.80,20.08,58.46,0.01,0.34
510,Firenze,IT,35854,0.54,0.62,0.37,0.36,4834.17,0.50,17.75,1.03,0.55,20.84,59.82,0.00,0.36
511,Tarbes,FR,10135,0.44,0.45,0.46,0.34,2275.59,0.50,19.90,1.57,0.75,19.31,58.47,0.05,0.33
512,Split,HR,13574,0.53,0.60,0.42,0.40,6247.98,0.50,19.99,0.07,0.12,21.95,57.86,0.00,0.37
513,Pisa,IT,17389,0.46,0.49,0.37,0.32,2310.57,0.50,20.23,2.02,1.29,17.80,58.65,0.12,0.34
515,Ancona,IT,8262,0.52,0.57,0.38,0.13,120609.53,0.50,18.11,1.54,3.26,16.64,60.46,0.01,0.36
517,Aix-en-Provence,FR,11673,0.46,0.52,0.36,0.38,3967.13,0.50,20.90,0.60,0.65,21.46,56.39,0.00,0.34
519,Grasse,FR,10125,0.49,0.55,0.37,0.50,inf,0.50,30.00,0.00,30.76,0.00,39.24,19.35,0.40
520,Grasse,FR,16630,0.43,0.44,0.37,0.50,inf,0.50,30.01,0.00,33.64,0.00,36.35,21.32,0.36
523,Livorno,IT,12718,0.51,0.55,0.41,0.07,27005.22,0.50,20.15,1.37,1.85,20.31,56.32,0.00,0.36
525,Draguignan,FR,9016,0.44,0.47,0.39,0.50,inf,0.50,30.00,0.00,30.19,0.00,39.81,19.83,0.37
526,Arezzo,IT,6826,0.47,0.50,0.44,0.36,2899.79,0.50,21.55,0.57,1.16,19.73,56.99,0.00,0.35
530,"Braga (Maximinos, Sé e Cividade)",PT,13681,0.47,0.50,0.43,0.36,3849.20,0.50,20.30,0.96,0.83,19.85,58.06,0.00,0.34
535,Toulon,FR,15897,0.43,0.44,0.44,0.50,inf,0.50,30.01,0.00,32.86,0.00,37.13,16.90,0.37
537,Perugia,IT,10192,0.43,0.49,0.37,0.33,2458.13,0.50,21.10,0.51,1.47,19.51,57.41,0.00,0.32
538,Vila do Conde,PT,7915,0.54,0.58,0.50,0.41,3463.78,0.50,14.95,1.53,0.66,22.20,60.67,0.00,0.35
540,Perpignan,FR,19354,0.44,0.46,0.42,0.33,3151.08,0.50,22.33,0.88,1.09,17.68,58.03,0.00,0.34
541,Gulpilhares e Valadares,PT,1629,0.43,0.43,0.57,0.38,2155.11,0.50,15.72,5.71,2.64,14.49,61.45,2.76,0.32
542,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",PT,78561,0.49,0.53,0.40,0.41,3897.55,0.50,16.89,1.70,2.13,19.43,59.86,0.15,0.34
543,Gulpilhares e Valadares,PT,2462,0.42,0.42,0.55,0.44,1713.54,0.50,11.78,5.48,5.65,14.26,62.84,1.14,0.30
544,Grosseto,IT,6365,0.52,0.59,0.47,0.43,3730.64,0.50,17.66,0.85,0.20,20.49,60.80,0.00,0.35
545,Gulpilhares e Valadares,PT,9161,0.45,0.46,0.38,0.30,2228.07,0.50,15.84,4.94,3.94,15.07,60.20,1.05,0.33
550,Pescara,IT,24110,0.50,0.57,0.43,0.05,68306.44,0.50,18.55,0.95,2.73,20.59,57.19,0.01,0.35
552,Gironès,ES,14994,0.44,0.48,0.37,0.23,4595.99,0.50,22.76,0.01,0.95,21.89,54.40,0.00,0.33
561,Ajaccio,FR,4279,0.48,0.56,0.40,0.40,5131.09,0.50,20.68,0.00,0.98,20.59,57.75,0.00,0.34
562,Santo António dos Olivais,PT,10597,0.46,0.51,0.46,0.41,2700.65,0.50,17.29,0.06,0.74,21.94,59.98,0.00,0.32
570,Roma,IT,145513,0.52,0.58,0.33,0.29,6020.88,0.50,18.83,0.96,1.38,19.91,58.92,0.25,0.36
571,Roma,IT,4051,0.57,0.69,0.49,0.08,1369700.35,0.50,9.53,3.43,7.08,19.23,60.73,0.39,0.35
585,Anzio,IT,11054,0.46,0.47,0.46,0.10,9377.85,0.50,17.88,1.97,4.22,17.54,58.38,0.20,0.33
586,Latina,IT,7678,0.54,0.61,0.40,0.48,3731.22,0.50,19.17,0.72,0.09,21.72,58.30,0.00,0.37
596,Bari,IT,61626,0.19,0.00,0.27,0.13,7752.68,0.50,10.35,6.28,1.66,5.73,75.98,0.19,0.18
607,Caserta,IT,90839,0.14,0.00,0.34,0.35,2764.41,0.50,8.57,8.57,0.00,0.00,82.85,0.03,0.15
614,Pozzuoli,IT,60657,0.13,0.00,0.25,0.03,22933.04,0.50,8.48,8.48,0.00,0.00,83.04,0.00,0.15
615,Matera,IT,25181,0.14,0.00,0.17,0.32,2594.89,0.50,9.26,9.26,0.00,0.00,81.47,2.95,0.16
616,Toledo,ES,38735,0.10,0.00,0.22,0.30,2634.73,0.50,6.29,6.29,0.00,0.00,87.41,0.10,0.12
619,Salerno,IT,47564,0.13,0.00,0.20,0.10,102302.86,0.50,6.89,6.89,0.00,0.00,86.22,0.55,0.14
620,Sassari,IT,48875,0.11,0.00,0.17,0.23,2276.01,0.50,9.83,9.83,0.00,0.00,80.34,2.35,0.15
621,Bellizzi,IT,39734,0.10,0.00,0.18,0.18,2470.40,0.50,6.27,6.27,0.00,0.00,87.46,0.33,0.11
622,Taranto,IT,38927,0.11,0.00,0.28,0.13,13358.35,0.50,5.90,5.90,0.00,0.00,88.20,0.04,0.11
623,Lecce,IT,64704,0.12,0.00,0.23,0.34,2759.63,0.50,6.55,6.55,0.00,0.00,86.90,0.20,0.13
630,Setúbal (São Sebastião),PT,45855,0.12,0.00,0.23,0.35,4419.43,0.50,6.17,6.17,0.00,0.00,87.67,0.37,0.12
632,Mérida,ES,24933,0.15,0.00,0.23,0.36,3068.52,0.50,9.34,9.34,0.00,0.00,81.32,1.20,0.17
633,Κατσικάς,GR,47555,0.13,0.00,0.23,0.23,2780.84,0.50,8.74,8.74,0.00,0.00,82.51,2.26,0.15
640,Cosenza,IT,39711,0.14,0.00,0.16,0.25,2833.58,0.50,8.46,8.46,0.00,0.00,83.09,2.42,0.15
643,Eivissa,ES,36772,0.12,0.00,0.21,0.21,3614.86,0.50,6.57,6.57,0.00,0.00,86.86,2.38,0.13
645,Casteddu/Cagliari,IT,61861,0.22,0.00,0.30,0.35,4098.38,0.50,12.09,3.27,0.02,4.84,79.77,0.35,0.19
648,la Marina Baixa,ES,42248,0.14,0.00,0.28,0.13,2620.46,0.50,8.69,8.69,0.00,0.00,82.62,1.56,0.16
661,el Baix Segura / La Vega Baja,ES,66141,0.14,0.00,0.36,0.19,3289.22,0.50,5.91,5.91,0.00,0.00,88.19,1.59,0.13
665,Reggio di Calabria,IT,31705,0.19,0.00,0.26,0.08,389919.74,0.50,9.52,5.68,0.39,4.24,80.17,0.07,0.17
672,Trapani,IT,21529,0.23,0.00,0.26,0.42,4357.35,0.50,10.01,2.41,0.02,4.62,82.95,0.99,0.18
673,Lefkoşa Türk Belediyesi,CY,96349,0.24,0.00,0.36,0.39,2192.61,0.50,13.21,2.15,0.09,8.56,75.99,0.98,0.20
675,Δήμος Λάρνακας,CY,47137,0.16,0.00,0.30,0.42,1891.05,0.50,10.50,5.03,0.01,5.48,78.98,0.48,0.16
676,Bahía de Cádiz,ES,31909,0.09,0.00,0.39,0.50,15020.38,0.50,3.83,3.83,0.00,0.00,92.35,0.14,0.08
678,Ασπρόχωμα,GR,28775,0.14,0.00,0.15,0.29,3716.74,0.50,8.49,8.49,0.00,0.00,83.01,1.23,0.16
681,Acireale,IT,71655,0.15,0.00,0.26,0.33,2165.89,0.50,7.69,7.53,2.08,2.25,80.45,0.08,0.15
682,Costa del Sol Occidental,ES,70513,0.11,0.00,0.31,0.26,3904.60,0.50,5.95,5.95,0.00,0.00,88.10,0.00,0.12
683,Costa del Sol Occidental,ES,37526,0.12,0.00,0.19,0.23,4914.18,0.50,6.43,6.43,0.00,0.00,87.14,0.52,0.12
684,Costa del Sol Occidental,ES,48065,0.14,0.00,0.24,0.28,6217.20,0.50,7.09,7.09,0.00,0.00,85.83,0.04,0.14
688,Λεμεσός,CY,65816,0.22,0.00,0.32,0.41,2779.76,0.50,12.51,2.46,0.05,5.96,79.03,0.66,0.18
691,Siracusa,IT,28948,0.18,0.00,0.28,0.35,4765.59,0.50,8.40,6.20,0.01,2.21,83.18,0.95,0.16
694,Ragusa,IT,44904,0.10,0.00,0.17,0.34,3653.70,0.50,5.82,5.82,0.00,0.00,88.37,0.80,0.11
695,Μουρνιές,GR,35743,0.17,0.00,0.20,0.28,2848.66,0.50,8.64,6.48,0.00,2.16,82.72,3.44,0.16
696,Νέα Αλικαρνασσός,GR,48021,0.21,0.00,0.22,0.31,5091.94,0.50,11.35,4.56,0.01,3.78,80.31,1.61,0.19
698,Il-Gudja,MT,58622,0.34,0.31,0.40,0.27,3880.40,0.50,14.93,1.65,0.19,9.10,74.13,0.12,0.25
