bounds_fid,city_label,country,n_nodes,mean_diversity,median_diversity,mean_centrality,mean_density_norm,mean_density_raw,mean_transport_access,pct_mixed_dense,pct_mixed_opportunity,pct_single_dense,pct_single_low,pct_intermediate,pct_development_opportunity,mixed_use_score
33,Rætebøl,DK,43410,0.46,0.46,0.48,0.50,inf,0.50,30.05,0.00,30.06,0.00,39.89,17.01,0.38
35,Vallkärra by,SE,20130,0.46,0.45,0.62,0.43,2758.98,0.50,19.71,2.80,1.93,17.13,58.43,1.40,0.34
37,Vilnius,LT,59377,0.50,0.55,0.42,0.41,5654.76,0.50,13.10,1.84,0.97,21.57,62.53,0.00,0.32
38,Malmö,SE,35148,0.50,0.52,0.54,0.36,4594.66,0.50,19.40,0.50,1.60,20.24,58.25,0.11,0.35
39,Klampenborg,DK,146871,0.49,0.52,0.38,0.22,inf,0.50,19.62,1.28,1.33,19.00,58.76,0.22,0.35
40,Agedrup,DK,28888,0.43,0.42,0.45,0.31,2169.67,0.50,17.38,2.66,1.85,17.23,60.88,0.32,0.31
41,Gdynia,PL,20969,0.46,0.52,0.47,0.38,3591.87,0.50,17.04,2.47,1.08,20.50,58.92,0.00,0.33
42,Jürgensby,DE,15383,0.46,0.46,0.53,0.42,2706.97,0.50,19.39,1.35,2.66,17.04,59.56,0.66,0.33
44,Cathair na Gaillimhe,IE,11379,0.44,0.44,0.45,0.50,2383.71,0.50,11.86,3.32,5.13,15.76,63.93,0.04,0.30
46,Gdańsk,PL,77821,0.51,0.56,0.41,0.37,4532.52,0.50,13.37,3.47,1.50,19.66,62.01,0.38,0.34
52,Schrevenborn,DE,30831,0.44,0.45,0.49,0.30,3279.10,0.50,18.87,1.69,1.86,17.23,60.35,0.34,0.32
55,Ortsbeirat 14 : Stadtmitte,DE,15070,0.49,0.51,0.50,0.33,3416.67,0.50,20.58,1.72,0.52,17.43,59.75,0.00,0.36
58,Sankt Gertrud,DE,27337,0.42,0.43,0.52,0.35,2834.25,0.50,18.89,1.39,2.11,18.08,59.54,0.29,0.31
64,Szczecin,PL,36578,0.48,0.53,0.43,0.28,4969.89,0.50,17.13,1.53,1.37,21.02,58.96,0.01,0.34
65,Hamburg-Mitte,DE,167289,0.47,0.49,0.50,0.30,4259.10,0.50,18.61,2.26,2.07,18.09,58.97,0.23,0.34
71,Toruń,PL,36275,0.45,0.48,0.43,0.42,3916.93,0.50,17.03,0.24,0.55,20.77,61.41,0.00,0.31
