bounds_fid,city_label,country,green_corr,trees_corr,n_nodes,mean_density,mean_green_dist,mean_trees_dist
0,,,0.10451501548178593,-0.17652853342505873,38409,1933.2950155261146,86.483406,188.2006
1,,,0.40672250788283143,-0.21048385290976232,26837,1714.234459509274,83.304,385.14514
2,,,0.47521005304036346,-0.45190770092637905,47964,2075.394544166688,95.89927,183.96544
3,,,0.2900487592231443,-0.34318971923822483,27989,1751.2062764359907,63.435818,189.64256
4,Tampere,FI,0.26788795437222834,-0.3578268465601506,74846,1963.4961437848099,93.43161,197.4839
5,Lahti,FI,0.3022726910661791,-0.3500571540282538,20885,1711.3277915394895,64.063515,183.75082
6,Turku,FI,0.26481456711066303,-0.390824125616337,53857,2034.0831540052448,85.10576,166.35716
7,Helsinki,FI,0.2226112430987647,-0.20981555892291456,258790,3022.6263277226894,87.89941,238.77245
8,Narva linn,EE,0.3293194278257027,-0.26876690267474407,7188,4476.170405510467,184.95819,98.82565
9,Sørås,NO,0.41074037595991847,-0.33312198516468977,50788,2191.4350639390286,108.87225,218.05377
10,Tallinn,EE,0.2746886981381156,-0.273913344822164,69067,4339.64110754524,146.60634,138.44786
11,Hällen,SE,0.30062095180175885,-0.3633089643318762,35508,2781.3640382328535,70.74362,163.98126
12,Langhus,NO,0.48922597621481156,-0.4508552389669244,182409,2956.0216803091425,153.4314,197.23476
13,Västerås,SE,0.384027427069211,-0.30037311087711904,27460,2076.190042526564,113.125404,213.17511
14,Rönninge By,SE,0.364273026538866,-0.5060203887454922,17799,1630.2332915540328,67.55614,242.29654
15,Sjöberg,SE,0.28714341751887207,-0.2332043507274584,228925,3884.647784395373,94.787285,183.38097
16,Geber,SE,0.4159654431686236,-0.30703412115447704,29937,2111.007904159365,102.35737,257.0716
17,Torsjödal,SE,0.21521963417168524,-0.425886968675867,15206,2073.3125510218033,88.395226,197.19019
18,Tartu linn,EE,0.21168861660492352,-0.30032804518048767,20753,2635.3398818876285,109.363945,213.55643
19,Venan,SE,0.2771254998291247,-0.2284437957402091,28914,2308.3593655566197,98.46484,170.45416
20,Stokka,NO,0.3066281423452961,-0.34055797718383,57118,2013.520949933245,98.97194,144.94147
21,Lundsbacken,SE,0.3421798521655445,-0.33814783550794963,20431,2409.8509616780552,104.644,259.9267
22,Linköping,SE,0.19862306973792898,-0.49582506118233777,35767,2221.7751400401557,98.46617,214.21716
23,Huskvarna,SE,0.3063604585004951,-0.2718304394359979,20389,1812.553830412465,92.30845,177.42955
24,Borås,SE,0.503755007249009,-0.43323122542548753,15723,1617.7884591934858,74.119934,213.46034
25,Latgales apkaime,LV,0.26629282587470265,-0.31286616825906166,99840,4084.2463465026244,150.47758,131.07045
26,Partille,SE,0.19247497770331065,-0.3682675014638892,113451,2972.1161788319555,83.322845,197.32283
27,Søholt,DK,0.09017669714810694,-0.35974485836684933,27978,1640.0219034951808,128.61888,159.20688
