bounds_fid,label,country,population,area_km2,confidence_score,n_flagged_categories,mean_zscore,flagged_categories
238,Tarnów,PL,85834.98406658033,36.360036856443564,1.0,0,-0.004946521030275027,
236,Most,CZ,61106.96004742754,26.99227982256006,1.0,0,-0.2662940034012991,
252,Bielsko-Biała,PL,141588.19095277818,57.360036856443564,1.0,0,-0.025234382107023626,
239,Charleroi,BE,244178.36098347424,133.68805368460053,1.0,0,-1.0968286764748798,
254,Ostrava,CZ,66025.96670383323,35.1374040448062,1.0,0,0.3664821054476637,
240,Jirkov,CZ,64281.86267838366,35.496784601344956,1.0,0,-0.3321920199019025,
253,Amiens,FR,149696.47569145847,63.53996453979665,1.0,0,-0.14706733875012296,
241,Valenciennes,FR,121357.58805351777,74.36904641401202,1.0,0,-0.5025353300879775,
242,Plauen,DE,58024.563207461804,41.13724577474993,1.0,0,-0.21774290871661336,
243,Arras,FR,79026.56206180892,46.26710213021868,1.0,0,-0.09958671350850447,
244,Tychy,PL,115956.69370493988,44.67623747452997,1.0,0,-0.3440581906871627,
245,Kraków,PL,755288.1727986246,209.10128546800823,1.0,0,2.4198695367479415,
246,Lahnstein,DE,121650.23675044422,79.8646999052837,1.0,0,0.06689968384412047,
247,Hradec Králové,CZ,83537.34500423183,46.044152778469716,1.0,0,0.002560748067413082,
248,Jastrzębie-Zdrój,PL,62422.32391641878,31.676237474529955,1.0,0,-0.2815129267324174,
249,Cherbourg,FR,70657.19930820094,48.33758835699855,1.0,0,-0.27818641317540665,
250,Kladno,CZ,62930.265772078135,30.49646806123245,1.0,0,-0.20158599178885697,
255,Ostrava,CZ,71248.15825207748,29.63321580613383,1.0,0,-0.2655333006610733,
251,Pardubice,CZ,80843.59563074171,39.40453835948575,1.0,0,-0.06003885135646724,
235,Namur,BE,80326.07410217458,51.00113111007271,1.0,0,0.07798314743838054,
226,Rzeszów,PL,167098.2674798647,73.54818274708585,1.0,0,0.15508313760706827,
233,Douai,FR,94282.15421211917,62.42495063533329,1.0,0,-0.489165325935529,
222,Ústí nad Labem,CZ,74984.4454711244,39.957634631508704,1.0,0,-0.21536502982641711,
232,Gießen,DE,75214.05262506125,45.36003685644356,1.0,0,0.044166039024330556,
231,Sosnowiec,PL,80378.92908808588,47.26662732005081,1.0,0,-0.46765001773059417,
230,La Louvière,BE,102783.87775166749,70.7328099492655,1.0,0,-0.6034634009717705,
223,Stadtbezirk Bonn,DE,545494.8156502999,274.4886424243603,1.0,0,-0.2663523139861335,
229,Gliwice,PL,125928.62423767043,53.04415277846973,1.0,0,-0.12362766153554498,
224,Liège,BE,417400.82806628186,191.7282751493927,1.0,0,-0.8591752078622562,
234,Mons,BE,95613.15937853511,64.00113111007273,1.0,0,-0.62400003302998,
227,Sosnowiec,PL,55800.442163604544,19.812668679318815,1.0,0,-0.2059558677218338,
225,Verviers,BE,68241.55831852363,34.67639574458567,1.0,0,-0.22478462652333595,
228,Lens,FR,195803.3132787278,115.30310143600298,0.9402499956444711,1,-1.108458363125732,religious
495,Bilbao,ES,786311.8798835264,140.68485112967247,0.9342736628883764,1,-0.7114700941578381,public_services
15,Sjöberg,SE,1462756.0502032698,480.76158618120155,0.9319339907651325,1,1.3157825852256564,retail
92,Warszawa,PL,1889245.3255663957,457.3251107302292,0.9142403519971594,1,3.358737448644956,eat_and_drink
181,Ost,DE,576826.8319088877,206.7997652050205,0.8997786774150324,1,-0.4752588833179614,religious
542,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",PT,917584.4261558298,311.0942948833914,0.8721333342182401,1,0.9359115477967919,arts_and_entertainment
128,Łódź,PL,633748.3693913152,177.09951507953824,0.7796369950724045,1,-0.4678298091982755,eat_and_drink
503,Toulouse,FR,722276.4702348061,271.5040117093093,0.7088672273359562,1,-0.9272903971855994,religious
453,Milano,IT,3150317.808592334,850.9326378777059,0.6490596677352914,1,2.564165871212385,education
524,София,BG,1121633.5005894536,226.80946324695518,0.6189019108354389,1,0.8170387206261956,religious
455,Bordeaux,FR,738916.9994308803,268.2884554891202,0.5963488009547848,1,-0.35058273132453716,religious
221,Lille,FR,999401.1387893748,322.85772102283397,0.5375199831835165,5,-1.5617717335890975,"business_and_services, arts_and_entertainment, health_and_medical, attractions_and_activities, religious"
51,Dublin,IE,1246189.5811164933,479.26546561503636,0.4363636363636364,3,-0.7946665910860083,"business_and_services, retail, health_and_medical"
440,Sector 1,RO,1922595.3779010954,343.85661313244395,0.38181818181818183,4,-0.49673242845861515,"public_services, retail, eat_and_drink, accommodation"
7,Helsinki,FI,1056200.8862588971,464.8689096913518,0.38181818181818183,4,-0.1487829354134974,"retail, health_and_medical, education, religious"
170,Innenstadt West,DE,2946855.603165796,1199.343314425563,0.10909090909090913,9,-5.331537763939829,"business_and_services, active_life, arts_and_entertainment, public_services, retail, eat_and_drink, education, attractions_and_activities, accommodation"
237,Katowice,PL,1148965.8660072424,448.86826239752105,0.10909090909090913,9,-3.3337845981079677,"business_and_services, active_life, arts_and_entertainment, public_services, health_and_medical, eat_and_drink, attractions_and_activities, religious, accommodation"
307,Palaiseau,FR,9773324.599915627,1835.9099116670106,0.054545454545454564,10,-5.591007028671818,"business_and_services, active_life, arts_and_entertainment, public_services, retail, health_and_medical, eat_and_drink, education, attractions_and_activities, religious"
