n_flagged_categories,n_cities,population_mean,confidence_score_mean,confidence_score_min,confidence_score_max
0,686,228882.62,1.0,1.0,1.0
1,3,674887.333,0.908,0.895,0.926
2,4,1353408.0,0.596,0.491,0.721
3,3,1402262.667,0.498,0.436,0.622
5,1,3039424.0,0.327,0.327,0.327
6,2,2325000.0,0.278,0.273,0.283
