label,country,bounds_fid,area_km2,population,business_and_services_count,active_life_count,arts_and_entertainment_count,public_services_count,retail_count,health_and_medical_count,eat_and_drink_count,education_count,attractions_and_activities_count,religious_count,accommodation_count,business_and_services_per_1000_pop,business_and_services_per_km2,active_life_per_1000_pop,active_life_per_km2,arts_and_entertainment_per_1000_pop,arts_and_entertainment_per_km2,public_services_per_1000_pop,public_services_per_km2,retail_per_1000_pop,retail_per_km2,health_and_medical_per_1000_pop,health_and_medical_per_km2,eat_and_drink_per_1000_pop,eat_and_drink_per_km2,education_per_1000_pop,education_per_km2,attractions_and_activities_per_1000_pop,attractions_and_activities_per_km2,religious_per_1000_pop,religious_per_km2,accommodation_per_1000_pop,accommodation_per_km2
Tallinn,EE,10,140.65347857414955,416020.3854797861,8619,782,499,895,3900,793,1870,901,848,155,421,20.71773475730022,61.278256943046344,1.8797155795578109,5.559762957357262,1.199460452940342,3.5477259791832148,2.151336884532277,6.363155814366688,9.374540614162996,27.72771807377663,1.9061565915464758,5.637969341667914,4.494972038073026,13.295085332810844,2.1657592547079125,6.405813842172498,2.0383616514898,6.029001263221175,0.37257789620391396,1.1019990516500968,1.0119696406570824,2.993171617707682
Hällen,SE,11,84.43184990107933,171635.614024446,2151,310,122,395,938,406,757,376,299,81,124,12.532364056411007,25.476168087281277,1.8061519560610935,3.6716002357309137,0.7108081891595271,1.4449523508360371,2.3013871698197805,4.678329332624874,5.465066241242922,11.109551681018056,2.365476432776787,4.8086119216346805,4.410506550768542,8.965810898220328,2.190687533803133,4.4532957697897535,1.742062693104087,3.541317646721107,0.47193002722886634,0.9593536099813033,0.7224607824244373,1.4686400942923654
Langhus,NO,12,422.6030688390266,952186.3313137499,16992,1828,913,2315,7762,2724,3333,1899,1536,507,556,17.84524671400797,40.20794275507831,1.91979231363033,4.325571996014781,0.9588459422015818,2.1604197113574917,2.4312468304454127,5.477953594515436,8.15176583063382,18.367116976513525,2.8607846074009955,6.445764834323994,3.500365307073244,7.886833404112289,1.9943575511947464,4.493578348157587,1.6131296464639975,3.634616294244367,0.532458809086749,1.1997073314986288,0.5839193251523324,1.3156553773436641
Västerås,SE,13,79.3697348983784,125212.93287602949,2036,273,78,252,793,418,468,219,128,52,132,16.260301178439754,25.652095255286,2.1802859635137786,3.43959823413216,0.6229388467182224,0.9827423526091885,2.012571658628103,3.1750137545835324,6.333211608301927,9.991213918193417,3.338313306772012,5.26649106911078,3.737633080309334,5.896454115655131,1.7490206080934705,2.7592381438642604,1.0222586202555444,1.6127053991535403,0.4152925644788149,0.6551615684061257,1.05420420213853,1.6631024428770884
Rönninge By,SE,14,56.180425713202325,71933.31186394501,807,153,22,102,462,120,162,108,71,12,40,11.218724386364462,14.364433692967836,2.126970050946422,2.723368469670482,0.3058388308550411,0.3915954662271281,1.4179800339642816,1.8155789797803212,6.422615447955863,8.22350479076969,1.6682118046638608,2.1359752703297894,2.252085936296212,2.883566614945216,1.5013906241974746,1.9223777432968105,0.9870253177594508,1.2637853682784588,0.16682118046638605,0.21359752703297896,0.5560706015546202,0.7119917567765965
Sjöberg,SE,15,480.76158618120155,1462756.0502032698,24165,2743,1260,3324,9439,3466,7822,2569,2517,564,1247,16.52018461768929,50.26399923493905,1.8752272462785733,5.705530722178267,0.8613876523189946,2.6208416733301556,2.272422663736776,6.914029938213838,6.452887341459516,19.63343218616138,2.369499684871139,7.209394634731999,5.347439854316806,16.270018705387677,1.7562737133392836,5.343604967289817,1.7207243816562774,5.235443247438096,0.3855735205618357,1.1731386537763553,0.852500319398243,2.593801243367225
Geber,SE,16,75.81431203728802,124120.87433880902,1160,199,35,133,419,112,241,136,113,26,66,9.345728558385616,15.300541135682575,1.6032758475161533,2.624834212069683,0.28198318926163496,0.46165425840421564,1.071536119194213,1.7542861819360194,3.3757416085892875,5.526660979181896,0.902346205637232,1.47729362689349,1.9416556746301152,3.178819322154742,1.0957061068452103,1.793856546942095,0.9104028681875644,1.490483748562182,0.20947322630864312,0.3429431633859888,0.5317397283219404,0.8705480301336638
Torsjödal,SE,17,48.22360565165474,76668.59759861359,857,99,33,117,385,150,263,102,77,48,51,11.177979340207695,17.771379564410342,1.2912718257649496,2.052936495772023,0.43042394192164984,0.6843121652573411,1.5260485213585768,2.4261976768214817,5.021612655752581,7.983641928002312,1.9564724632802266,3.1105098420788226,3.4303483856179975,5.453760589778202,1.330401275030554,2.1151466926135996,1.0043225311505164,1.5967283856004624,0.6260711882496726,0.9953631494652233,0.665200637515277,1.0575733463067998
Tartu linn,EE,18,50.13756231486249,96449.20627451938,1802,187,126,226,834,195,343,288,188,42,82,18.683409326055436,35.94111713456451,1.938844364024621,3.729738570568015,1.3063871115887817,2.513085881773101,2.3432022795163867,4.507598486354927,8.647038500516222,16.63423512221243,2.021789577458829,3.889299578934561,3.5562760259916844,6.841178233715664,2.9860276836315016,5.744196301195659,1.9492125157038969,3.749683696613833,0.435462370529594,0.8376952939243669,0.8501884377006358,1.6355003357570974
Venan,SE,19,54.91461296311262,109920.47931596886,1708,256,83,276,669,270,477,194,132,61,97,15.538505750964896,31.102832339860104,2.3289563654842,4.661782833140625,0.7550913216218305,1.5114374029323119,2.5109060815376534,5.025984616979736,6.086218001988007,12.182549669418272,2.456321166721617,4.9167240818280025,4.339500727874857,8.686212544562805,1.7649122457184951,3.5327573032393795,1.2008681259527907,2.4037317733381345,0.554946633963032,1.1108154407092894,0.8824561228592476,1.7663786516196898
