City,Country,Nodes,City Mean (m),% Below City Mean,% Below EU Avg,% Severely Underserved,Equity Ratio (P75/P25)
Ξάνθη,GR,3711,504.0,62.0,60.5,18.5,6.2
Toledo,ES,5270,448.3,65.9,72.3,19.4,6.0
Hoya de Huesca / Plana de Uesca,ES,4036,436.7,65.3,73.6,18.3,5.7
A Coruña,ES,19616,394.7,61.3,76.3,14.4,4.7
Guadalajara,ES,5798,477.9,64.1,66.0,17.4,4.6
Alessandria,IT,4916,481.6,62.3,63.7,16.0,4.6
Focșani,RO,4009,518.9,60.1,57.0,16.0,4.6
Baix Camp,ES,6856,457.1,62.5,67.3,14.6,4.4
Lubin,PL,8482,537.9,61.2,56.0,15.8,4.4
Szombathely,HU,6933,540.8,59.4,54.0,14.4,4.3
Székesfehérvár,HU,7953,498.8,59.7,58.9,13.8,4.2
Arezzo,IT,6478,525.7,58.1,54.3,12.8,4.1
Zamora,ES,5042,426.8,64.5,74.3,15.2,4.1
Ασπρόχωμα,GR,6608,424.3,65.0,75.4,15.3,4.1
Шумен,BG,4998,536.2,62.2,57.1,15.2,3.9
Pardubice,CZ,14131,481.9,60.9,62.2,13.3,3.9
El Bierzo,ES,5536,532.9,59.9,55.3,14.3,3.8
VVG der Gemeinde Gundelfingen,DE,25819,467.4,63.5,66.9,14.7,3.8
Aschaffenburg,DE,8233,582.8,58.5,49.4,13.1,3.8
Tychy,PL,13050,422.6,62.9,73.2,14.2,3.7
Mairena del Aljarafe,ES,20079,432.6,62.8,71.4,14.2,3.7
Μουρνιές,GR,7525,406.4,62.9,76.1,13.7,3.7
Bamberg,DE,12815,529.1,59.6,55.4,13.2,3.7
Lugano,CH,10343,548.1,58.7,52.7,13.2,3.7
Pescara,IT,22389,517.6,60.6,57.6,13.7,3.6
Chełm,PL,9297,538.3,59.5,54.4,12.2,3.6
Montpellier,FR,37620,443.0,62.2,69.1,13.6,3.6
Höchberg,DE,21958,496.0,60.2,59.7,13.1,3.6
Stephanskirchen,DE,10077,562.0,58.7,51.3,12.7,3.6
Tatabánya,HU,5662,569.5,60.7,52.4,12.9,3.6
Brescia,IT,26904,568.4,57.9,50.1,12.7,3.5
Wałbrzych,PL,10822,555.3,58.5,51.8,11.5,3.5
Radom,PL,25248,462.5,64.7,68.9,14.3,3.5
Ragusa,IT,5888,409.0,70.0,84.2,16.3,3.5
Białystok,PL,38688,435.6,63.5,71.7,13.8,3.5
Kalisz,PL,8351,399.4,66.1,81.4,14.5,3.5
Tarbes,FR,9142,503.4,61.8,60.4,13.3,3.4
Neureut,DE,37024,497.2,61.4,60.8,13.4,3.4
Saint-Étienne,FR,19159,510.2,58.7,56.6,12.0,3.4
Saarbrücken,DE,20765,574.7,57.9,49.6,11.5,3.4
Brest,FR,18848,483.2,61.2,62.3,13.1,3.4
Zirndorf,DE,66728,502.5,58.6,57.4,11.3,3.4
Antwerpen,BE,43887,469.0,60.9,63.9,12.2,3.4
Stadtbezirk 1,DE,57000,493.2,59.2,59.1,11.5,3.3
Lüdenscheid,DE,8453,583.8,56.9,47.9,11.3,3.3
Katowice,PL,154071,458.6,62.1,66.7,12.5,3.3
Mitte,DE,27621,515.0,58.4,55.8,11.3,3.3
Lahnstein,DE,18532,553.0,58.9,52.4,12.1,3.3
Wołomin,PL,8619,595.5,57.5,47.5,11.2,3.3
Sosnowiec,PL,10199,593.0,57.3,47.5,10.8,3.3
Włocławek,PL,9022,463.9,65.6,69.5,15.2,3.3
Udine / Udin,IT,12140,464.8,61.1,64.7,12.6,3.3
Iserlohn,DE,11324,635.0,56.5,43.7,10.5,3.3
Pabianice,PL,6761,480.2,64.5,66.1,14.8,3.3
Mérida,ES,5721,409.3,63.7,76.6,12.1,3.3
Partido Judicial de Santa Fe,ES,7977,447.9,63.6,69.8,12.9,3.3
Tours,FR,34460,499.9,58.5,57.6,11.3,3.3
Verwaltungsgemeinschaft Konstanz,DE,13028,502.3,60.5,59.3,12.3,3.2
Erfurt,DE,23899,482.4,61.6,62.8,12.5,3.2
Bayonne,FR,17722,474.7,59.2,61.4,11.1,3.2
Ancona,IT,7782,434.7,60.6,68.6,11.3,3.2
Vereinbarte Verwaltungsgemeinschaft der Stadt Göppingen,DE,16516,623.7,55.4,43.7,9.5,3.2
Maastricht,NL,16724,474.0,63.1,65.5,13.1,3.2
Valenciennes,FR,15223,539.3,59.0,53.8,11.8,3.2
Ortsbeirat 14 : Stadtmitte,DE,14768,436.8,60.3,68.0,10.8,3.2
Częstochowa,PL,22405,399.4,63.3,77.9,12.8,3.2
Como,IT,16869,644.2,54.7,41.8,8.9,3.2
Ede,NL,15750,499.4,63.5,62.6,13.5,3.1
Treviso,IT,9441,465.7,60.9,64.3,11.8,3.1
Chemnitz,DE,28646,508.3,59.9,57.9,12.0,3.1
Hagen-Mitte,DE,22238,559.6,59.9,52.7,12.5,3.1
Lotte,DE,21301,553.9,58.0,51.5,10.9,3.1
Gouda,NL,10828,427.7,65.3,75.1,13.3,3.1
Vellmar,DE,28233,511.7,59.3,57.0,11.3,3.1
Troyes,FR,14767,485.0,59.1,60.0,11.1,3.1
Plauen,DE,9103,570.4,58.9,50.8,11.3,3.1
Hildesheim,DE,11937,504.2,57.4,56.0,10.0,3.1
Duisburg-Mitte,DE,18475,578.4,56.7,48.3,10.4,3.1
Deventer,NL,10209,484.0,62.2,63.2,12.0,3.0
Sosnowiec,PL,6804,475.8,59.7,61.7,11.0,3.0
Monheim am Rhein,DE,18144,541.8,60.3,54.7,11.7,3.0
Rönninge By,SE,12832,616.4,58.6,46.8,10.4,3.0
Haarlem,NL,23409,429.4,63.9,73.2,12.5,3.0
Alkmaar,NL,14113,426.5,66.0,76.1,13.6,3.0
Amsterdam,NL,112101,407.8,65.3,78.8,13.2,3.0
Douai,FR,12400,613.6,57.0,45.7,10.3,3.0
Płock,PL,8682,376.1,66.9,87.6,12.8,3.0
Klampenborg,DK,139852,474.2,59.2,61.4,10.4,3.0
Modena,IT,14178,413.3,61.1,72.7,10.7,3.0
Magdeburg,DE,30220,479.0,60.9,62.6,11.4,3.0
Chartres,FR,12132,536.5,60.8,55.8,11.5,3.0
Nord,DE,26098,548.9,58.9,52.8,11.2,3.0
Venlo,NL,15107,537.2,61.2,56.0,12.2,3.0
Uentrop,DE,17409,553.9,60.2,53.5,11.4,2.9
Grudziądz,PL,9339,448.1,63.1,69.2,12.1,2.9
Gulpilhares e Valadares,PT,9029,563.2,53.5,46.8,6.2,2.9
Stadtbezirk Bremerhaven-Nord,DE,15705,571.7,58.1,50.0,9.6,2.9
Ergolding,DE,13306,552.1,59.7,53.2,11.3,2.9
Assen,NL,15915,501.0,61.6,60.5,10.9,2.8
Gütersloh,DE,13254,508.9,59.6,57.6,10.3,2.8
Δήμος Λάρνακας,CY,13272,431.2,61.5,70.2,10.5,2.8
Sittard,NL,15906,546.3,59.5,53.6,10.7,2.8
Schweinfurt,DE,14069,612.5,56.9,45.7,10.4,2.8
Rotterdam,NL,91554,399.1,63.3,78.0,10.9,2.8
Cherbourg,FR,12535,451.3,60.7,66.2,10.5,2.8
Soest,NL,9553,502.6,61.4,60.1,11.9,2.8
Arnhem,NL,32771,453.0,61.6,66.8,10.8,2.8
Oostende,BE,10547,516.2,58.9,56.2,10.2,2.8
Leiden,NL,39027,395.6,64.4,80.1,11.3,2.7
Zoetermeer,NL,21256,413.2,64.7,77.0,11.5,2.7
Hengelo,NL,15209,467.8,61.3,64.4,10.9,2.7
Heerlen,NL,31416,524.2,61.6,57.8,10.8,2.7
Breda,NL,21815,410.1,66.9,80.3,13.2,2.7
Hoorn,NL,12621,387.9,62.5,79.2,10.0,2.7
Berkel en Rodenrijs,NL,13126,511.8,60.4,58.1,10.4,2.6
Agedrup,DK,28295,498.2,56.8,56.1,8.0,2.6
Apeldoorn,NL,24738,448.5,63.3,69.5,11.4,2.6
Heerhugowaard,NL,12687,463.7,63.6,67.5,11.6,2.6
Roosendaal,NL,9552,460.2,66.0,70.5,12.8,2.6
Küsnacht (ZH),CH,2559,327.7,56.7,85.2,8.2,2.5
Almelo,NL,11451,448.4,62.5,68.6,10.1,2.5
Almere,NL,34179,396.8,64.7,80.2,10.9,2.5
Nieuwegein,NL,21433,403.4,63.8,77.7,9.8,2.4
