bounds_fid,city_label,country,n_nodes,mean_demand,mean_supply,mean_transport_gap,pct_gap_nodes,pct_critical_gap
379,Küsnacht (ZH),CH,2559,0.45,0.64,-0.18,9.07,5.78
5,Lahti,FI,14730,0.32,0.71,-0.39,7.91,4.39
226,Rzeszów,PL,28013,0.38,0.54,-0.17,6.92,3.69
544,Grosseto,IT,6365,0.43,0.36,0.26,6.66,3.33
424,Zagreb,HR,59496,0.41,0.73,-0.32,7.72,3.33
585,Anzio,IT,11054,0.26,0.46,-0.15,5.98,2.89
538,Vila do Conde,PT,7915,0.45,0.70,-0.24,6.17,2.87
471,Carpi,IT,6372,0.47,0.52,0.07,6.61,2.72
620,Sassari,IT,10569,0.31,0.50,-0.05,6.45,2.69
676,Bahía de Cádiz,ES,3864,0.53,0.81,-0.28,9.60,2.64
41,Gdynia,PL,20969,0.41,0.63,-0.20,6.47,2.48
545,Gulpilhares e Valadares,PT,9161,0.32,0.73,-0.42,5.22,2.15
449,Venezia,IT,6764,0.28,0.69,-0.42,8.09,2.14
607,Caserta,IT,19095,0.44,0.45,0.06,4.78,2.13
437,Gallarate,IT,17720,0.42,0.54,-0.07,3.97,1.97
417,Valea Voievozilor,RO,4033,0.45,0.43,0.06,4.41,1.88
645,Casteddu/Cagliari,IT,22658,0.42,0.66,-0.22,3.49,1.84
681,Acireale,IT,13455,0.35,0.56,-0.14,3.70,1.77
4,Tampere,FI,51364,0.32,0.75,-0.43,5.23,1.77
622,Taranto,IT,6216,0.30,0.56,-0.23,4.91,1.75
116,Amersfoort,NL,23633,0.48,0.75,-0.25,5.00,1.74
672,Trapani,IT,6191,0.50,0.63,-0.04,6.12,1.62
112,Soest,NL,10119,0.43,0.63,-0.17,3.84,1.58
12,Langhus,NO,144167,0.28,0.72,-0.43,3.88,1.55
147,Lublin,PL,46241,0.43,0.76,-0.32,5.58,1.52
665,Reggio di Calabria,IT,9262,0.22,0.81,-0.59,3.29,1.51
26,Partille,SE,88421,0.34,0.72,-0.37,4.50,1.50
199,Cotta,DE,72119,0.39,0.72,-0.33,4.74,1.40
368,Basel,CH,56141,0.35,0.71,-0.35,2.35,1.38
79,Stadtgebiet Bremen,DE,56584,0.40,0.71,-0.30,4.72,1.35
452,Padova,IT,29710,0.38,0.73,-0.33,2.83,1.32
336,Leonding,AT,35245,0.39,0.74,-0.35,4.14,1.25
126,Nieuwegein,NL,22826,0.50,0.73,-0.21,5.25,1.16
346,Schwabing-Freimann,DE,161050,0.38,0.64,-0.26,4.29,1.15
207,Bergisch Gladbach,DE,98627,0.38,0.71,-0.32,3.93,1.13
488,Zadar,HR,7459,0.47,0.75,-0.28,4.46,1.11
619,Salerno,IT,8190,0.24,0.57,-0.27,4.90,1.03
7,Helsinki,FI,200311,0.34,0.75,-0.41,3.79,1.02
338,Neusäß,DE,49303,0.43,0.73,-0.30,4.36,1.02
180,Kielce,PL,28072,0.41,0.77,-0.36,5.31,0.97
304,Neureut,DE,38995,0.36,0.69,-0.33,4.45,0.96
118,Mitte,DE,28840,0.39,0.71,-0.32,3.28,0.94
477,Modena,IT,14782,0.44,0.81,-0.36,4.06,0.92
113,Apeldoorn,NL,25966,0.49,0.72,-0.22,3.93,0.91
543,Gulpilhares e Valadares,PT,2462,0.48,0.75,-0.27,2.97,0.89
281,Innenstadt/Jungbusch,DE,60796,0.29,0.74,-0.44,3.29,0.88
428,Lecco,IT,7149,0.37,0.60,-0.17,2.07,0.87
120,Utrecht,NL,42080,0.45,0.75,-0.29,3.65,0.84
509,Montpellier,FR,38538,0.32,0.73,-0.40,5.46,0.84
259,Praha,CZ,126921,0.35,0.74,-0.39,3.88,0.79
206,Erfurt,DE,24878,0.39,0.68,-0.29,5.24,0.76
483,Ravenna,IT,8922,0.48,0.71,-0.21,5.62,0.76
245,Kraków,PL,95755,0.38,0.74,-0.35,3.92,0.74
179,Krefeld-West,DE,23390,0.35,0.72,-0.36,3.02,0.74
523,Livorno,IT,12718,0.23,0.75,-0.52,1.78,0.73
20,Stokka,NO,42068,0.43,0.73,-0.30,4.00,0.71
347,VVG der Gemeinde Gundelfingen,DE,27664,0.40,0.68,-0.26,3.33,0.70
