Country,% Cluster 1,% Cluster 2,% Cluster 3,% Cluster 4,% Cluster 5,% Cluster 6,% Cluster 7,% Cluster 8
FI,26.865079365079364,11.626984126984127,2.142857142857143,11.626984126984127,26.46825396825397,0.2777777777777778,2.0634920634920633,18.928571428571427
SE,33.83188186293071,8.36804240817872,4.051495645588792,10.318061340401364,21.37447936387732,1.3063233623627415,2.0636122680802726,18.68610374858008
LT,21.630615640599,21.048252911813645,5.906821963394343,6.655574043261231,20.382695507487522,0.7487520798668885,5.574043261231281,18.05324459234609
EE,24.367816091954023,16.206896551724135,5.057471264367816,6.666666666666667,26.551724137931032,0.5747126436781609,3.4482758620689653,17.126436781609193
LV,29.117379435850772,14.64968152866242,5.823475887170155,4.731574158325751,25.84167424931756,1.7288444040036397,1.8198362147406733,16.287534121929028
HU,36.61898569570871,9.128738621586475,9.77893368010403,4.109232769830949,23.693107932379714,2.418725617685306,1.3003901170351104,12.951885565669702
HR,27.29124236252546,9.23285811269518,8.825526137135098,3.73387644263408,34.419551934826885,2.172437202987101,1.6293279022403258,12.695179904955872
LU,17.22689075630252,9.243697478991598,31.512605042016805,0.42016806722689076,12.605042016806722,16.386554621848738,0.0,12.605042016806722
IT,18.726259812610788,12.226724065164177,9.420106356039504,5.414872963619482,31.0627162994851,8.390309783067442,2.2706170338482314,12.488393686165274
BG,25.179856115107913,13.151079136690647,6.359712230215828,3.884892086330935,32.86330935251798,5.266187050359712,1.0647482014388487,12.23021582733813
