City,Country,% Cluster 0,% Cluster 1,% Cluster 2,% Cluster 3
Ostrów Wielkopolski,PL,4.255098871518791,0.1552955792525106,4.731338647893157,90.85826690133554
Brackel,DE,16.006752608962554,0.16881522406384286,2.7624309392265194,81.06200122774709
Ludwigsburg,DE,11.73,0.12,7.21,80.94
Piotrków Trybunalski,PL,3.031263202365864,0.010561892691170258,17.120828052386987,79.83734685255598
Focșani,RO,19.51923076923077,0.0,1.4182692307692308,79.0625
Uttenreuth (VGem),DE,15.110000000000001,0.09,8.17,76.63
Lelystad,NL,17.630000000000003,0.06,7.37,74.94
Bocholt,DE,22.49,0.11,3.7199999999999998,73.68
Göttingen,DE,19.41,0.01,6.97,73.61
Nyíregyháza,HU,8.718801996672212,0.0,18.158624514697728,73.12257348863007
