cluster,Building 100 Nw,Block 100 Nw,Mean Height Median 100 Nw,Volume Median 100 Nw,Block Covered Ratio Median 100 Nw,Area Median 100 Nw
0,-0.07540377673962871,-0.21955693022707282,-0.1663220031375937,-0.08136643368718635,0.0075047287409945726,-0.06692266136451087
1,-0.132490550121921,0.29890773573368756,0.015337358192942041,-0.02387238033042269,-0.07730380480083227,-0.0138181454787428
2,-0.19928356404342915,-0.13794352291266568,-0.25601585340168187,-0.08251063614095071,-0.3280850104586887,-0.08062809111424683
3,-0.15818052428054163,-0.1582469939540217,0.3709787846825318,0.03692825802648305,0.048659069774012326,0.004604148241715518
4,-0.08254761495798385,0.2151256472800489,0.3176390303569096,0.09551615472184537,0.36960159753138155,0.07021769717293329
5,0.3224157570791868,0.3590757211516266,-0.1890001237302276,-0.08215957636422673,-0.021748379085334127,-0.08441549592500606
6,-0.14916057235304778,-0.1362698956116384,0.038601810249736454,-0.037096193623104776,-0.2512893449612872,-0.04368375591366806
7,0.42471283474546273,-0.2287837778625475,-0.24990355385697932,-0.10634317741725813,-0.06805327170782105,-0.11360280001487368
8,0.1819470566821072,-0.029564222463467717,0.07862491806564259,-0.04212883734840468,0.42999757642245295,-0.04575508766156534
9,0.1641968666668107,0.5924513920699745,0.04996535376248641,-0.026902004966977085,0.29896379183161187,-0.027493172516369582
10,-0.21353799473189772,-0.13161346600579937,-0.09943847548871854,0.02802062344189554,-0.09965386444745404,0.11919917249134646
11,-0.20519871952876123,-0.065857071287359,0.4219413917475326,0.46365875558869624,-0.029947643309921522,0.4147179622723141
