City,Country,Pop Density,Heterogeneity,Dominant Cluster
Zadar,HR,2917.969446075824,0.26486800756031925,3
Érd,HU,2041.2709370551806,0.3030662860334207,3
Ostrów Wielkopolski,PL,2648.398426795269,0.3115477095294216,4
,,2993.108137085388,0.35343629370189567,3
Brackel,DE,2131.2677858585225,0.3557720021988894,4
Focșani,RO,4293.709488733373,0.37727022310034763,4
Pescara,IT,86724.25847198673,0.37904338316977004,3
Thalwil,CH,4059.905724496674,0.3958522949756634,3
Ludwigsburg,DE,3231.9863537604165,0.4034672682473527,4
Piotrków Trybunalski,PL,3536.696882622186,0.41720720264570693,4
Bocholt,DE,2191.9079292005918,0.4463134011359679,4
Lünen,DE,2139.272618415708,0.4508029474095156,4
Küsnacht (ZH),CH,3560.2943978178378,0.4579371322987882,4
Durach,DE,2570.239750339373,0.46433665303470323,4
Böckingen,DE,3085.855505182012,0.47148237043923646,4
Plauen,DE,2186.3719004644186,0.47300806430865805,3
Uentrop,DE,2122.9249923696802,0.47767463277903527,4
Νεόκτιστα,GR,13466.841003943768,0.4799928026032823,3
Tarbes,FR,2188.1392759166397,0.4809658368798085,4
Maresme,ES,10602.716562890047,0.4840501207068317,1
