Country,Number of Cities,Nodes Sampled,Avg Population Density,Avg Coverage Ratio,% Cluster 1,% Cluster 2,% Cluster 3,% Cluster 4,% Cluster 5,% Cluster 6,% Cluster 7,% Cluster 8
IE,5,1976,3481.729950658793,0.18716961,61.082995951417004,1.8218623481781375,9.868421052631579,3.54251012145749,5.263157894736842,9.564777327935223,0.7591093117408907,8.097165991902834
NL,43,12080,inf,0.24748586,53.50165562913908,1.456953642384106,8.9817880794702,7.789735099337748,3.1208609271523176,19.586092715231786,0.35596026490066224,5.206953642384106
NO,3,1383,3452.478562003584,0.21766834,48.73463485177151,5.061460592913955,6.941431670281996,7.881417208966016,16.919739696312362,4.2660882140274765,0.8676789587852495,9.327548806941431
FR,72,26546,inf,0.22578016,48.692835078731264,6.125216605138251,12.566865064416485,9.364876064190462,4.972500565056882,12.367211632637686,1.054772847133278,4.855722142695698
BE,13,3662,3542.5139769278403,0.26027736,45.98580010922993,3.713817586018569,13.653741125068269,5.133806663025669,3.2768978700163847,22.31021299836155,0.4642271982523211,5.461496450027307
DK,4,1978,inf,0.21221553,44.08493427704752,5.207280080889787,2.7805864509605662,16.076845298281093,18.70576339737108,1.5672396359959553,1.5166835187057632,10.06066734074823
DE,103,36647,3533.121079770162,0.21514912,40.54629301170628,9.103064370889841,21.183180069309905,3.118945616285098,11.523453488689388,6.636286735612738,0.8841105683957758,7.004666139110978
HU,12,3845,3644.9368088602114,0.20132314,36.61898569570871,9.128738621586475,9.77893368010403,4.109232769830949,23.693107932379714,2.418725617685306,1.3003901170351104,12.951885565669702
PL,50,17956,4710.420873685972,0.16515215,36.01024727110715,13.56649587881488,15.409890844286034,5.9478725774114505,17.047226553798172,2.060592559590109,1.681889062151927,8.275785252840276
RO,30,6760,inf,0.23427118,35.9319526627219,11.18343195266272,7.366863905325443,4.556213017751479,27.559171597633135,2.1449704142011834,0.7544378698224852,10.502958579881657
CZ,14,4931,3956.3104092763087,0.17336056,35.36807949705942,16.06165078077469,20.56378016629487,3.873453660515108,9.835733117014804,5.901439870208883,0.7503548975866964,7.6455080105455275
SI,2,580,3803.076792952883,0.21740639,33.96551724137931,7.06896551724138,7.758620689655173,4.482758620689655,30.517241379310345,4.137931034482759,1.5517241379310345,10.517241379310345
SE,15,5282,3372.3821488283297,0.17417327,33.83188186293071,8.36804240817872,4.051495645588792,10.318061340401364,21.37447936387732,1.3063233623627415,2.0636122680802726,18.68610374858008
SK,6,1568,4517.903816445599,0.18589365,32.39795918367347,19.706632653061224,20.727040816326532,3.2525510204081636,10.076530612244898,4.783163265306122,1.0841836734693877,7.971938775510204
CY,2,565,3145.831121512286,0.24938354,31.504424778761063,2.3008849557522124,4.424778761061947,0.7079646017699115,47.61061946902655,2.47787610619469,0.35398230088495575,10.619469026548673
LV,3,1099,4128.144797898573,0.18960173,29.117379435850772,14.64968152866242,5.823475887170155,4.731574158325751,25.84167424931756,1.7288444040036397,1.8198362147406733,16.287534121929028
HR,5,1473,4810.935453879201,0.21448994,27.29124236252546,9.23285811269518,8.825526137135098,3.73387644263408,34.419551934826885,2.172437202987101,1.6293279022403258,12.695179904955872
PT,10,4154,3928.2290528235812,0.2451182,27.082330284063556,11.338468945594608,16.53827636013481,4.525758305247954,18.030813673567643,13.095811266249399,0.7462686567164178,8.642272508425613
FI,4,2520,2965.1567510061004,0.15763514,26.865079365079364,11.626984126984127,2.142857142857143,11.626984126984127,26.46825396825397,0.2777777777777778,2.0634920634920633,18.928571428571427
AT,6,2499,4700.056169557039,0.2457676,26.810724289715886,17.9671868747499,15.286114445778312,3.601440576230492,20.928371348539414,6.682673069227691,1.0804321728691477,7.643057222889156
BG,13,3475,6209.38225919929,0.22544457,25.179856115107913,13.151079136690647,6.359712230215828,3.884892086330935,32.86330935251798,5.266187050359712,1.0647482014388487,12.23021582733813
EE,3,870,4756.005021467048,0.16696155,24.367816091954023,16.206896551724135,5.057471264367816,6.666666666666667,26.551724137931032,0.5747126436781609,3.4482758620689653,17.126436781609193
GR,8,3857,7551.5548497386735,0.33556235,22.219341457091005,3.4482758620689653,6.896551724137931,1.1407829919626653,25.823178636245785,36.9198859217008,0.025926886180969663,3.5260565206118746
LT,4,1202,4727.13755245586,0.17136873,21.630615640599,21.048252911813645,5.906821963394343,6.655574043261231,20.382695507487522,0.7487520798668885,5.574043261231281,18.05324459234609
IT,83,23694,238573.15831702296,0.27758855,18.726259812610788,12.226724065164177,9.420106356039504,5.414872963619482,31.0627162994851,8.390309783067442,2.2706170338482314,12.488393686165274
CH,12,3442,4671.354747537356,0.24264774,18.33236490412551,12.84137129575828,17.576990122022078,3.2248692620569437,32.51016850668216,5.839628123184195,0.610110400929692,9.06449738524114
LU,1,238,4061.6541857994002,0.24201195,17.22689075630252,9.243697478991598,31.512605042016805,0.42016806722689076,12.605042016806722,16.386554621848738,0.0,12.605042016806722
ES,86,24426,8125.3845887371535,0.33217478,16.920494554982398,15.323835257512485,11.954474740031113,6.910668959305657,14.460001637599278,21.354294604110375,2.3786129534103004,10.69761729304839
MT,1,254,5602.412737689519,0.30635983,12.992125984251967,5.511811023622047,16.535433070866144,7.086614173228346,36.22047244094488,10.236220472440944,2.3622047244094486,9.05511811023622
