cluster,density_mean,walkability_mean,mixed_use_mean
1,3810.5442505805395,99.89983,0.3554356
2,12449.368172502307,161.31306,1.3328358
3,6724.379234006927,129.1946,0.8681875
4,5004.012234660321,109.016464,0.43764573
5,8715.074786327956,120.965164,0.74615306
6,11411.926671423218,156.45572,1.5149115
7,14160.92205083951,139.71674,0.76438373
8,5649.732638983805,93.99175,0.41390687
