City,Country,% Cluster 0,% Cluster 1,% Cluster 2,% Cluster 3
Torrejón de Ardoz,ES,23.10844031685332,1.8027861240098333,34.40316853318765,40.685605025949194
Roma,IT,38.51080864691753,1.7080330931411796,36.93621563917801,22.844942620763277
Brăila,RO,19.75627240143369,1.6200716845878136,39.68458781362007,38.93906810035842
Baix Llobregat,ES,14.872364039955604,1.6013952750911684,72.64943713334391,10.876803551609324
Mitte,DE,23.54,1.28,12.61,62.57
Ancona,IT,30.336835264811,1.2780244774179572,36.66197335643886,31.723166901332178
Halle-Vilvoorde,BE,45.874904067536455,1.1128165771297005,35.37989255564083,17.632386799693016
Logroño,ES,12.601500668105665,1.0998047075752904,73.58412992085518,12.714564703463871
Bratislava,SK,35.85,1.05,33.09,30.009999999999998
Ridderkerk,NL,60.373966199208915,1.0068320747932398,9.70873786407767,28.91046386192017
