cluster,n_nodes,pct_nodes,Building Mean,Block Mean,Mean Height Median Mean,Mean Height Mad Mean,Area Median Mean,Fractal Dimension Median Mean,Block Covered Ratio Median Mean,Shared Walls Median Mean
0,68467,34.2335,10.636259,0.3238758,4.956887,0.5473975,74.99001,1.0250027,0.16796492,4.7119093
1,20297,10.1485,3.6322901,0.2900223,14.274679,3.2892115,390.54266,1.0511808,0.31751552,11.777275
2,26133,13.0665,5.8061037,0.28507164,8.824054,1.161013,302.15707,1.0314182,0.24342367,14.777914
3,11813,5.9065,4.870488,0.23865162,5.8557296,0.60145444,304.90234,1.0851753,0.17822671,4.106393
4,32536,16.268,4.5092974,0.36791775,7.935841,1.3945533,250.13103,1.0297197,0.26671538,0.03996468
5,20141,10.070500000000001,18.44994,0.8048449,8.99445,1.2372514,125.822876,1.0378541,0.4905254,19.211664
6,2741,1.3705,1.2438412,0.38865915,12.42104,0.70170176,1522.5302,1.16397,0.25642666,8.83012
7,17872,8.936,1.3250576,0.1703706,7.877017,0.35006967,679.9004,1.0322908,0.14439744,0.028063204
