cluster,density,mixed_use,walkability
0,,-0.2908345652236771,-0.22319561121853365
1,,0.23010406703312497,0.21950583657634465
2,,0.06495855491676664,0.05806238361317502
3,,-0.07807334923939593,-0.04171021641461189
4,,0.013988333791969516,0.009163044812501917
5,,0.2969292440321473,0.1930909251455361
6,,0.0061326542491582795,0.03709330631047113
7,,-0.10589096834574016,-0.12591392835489043
