City,Country,% Cluster 0,% Cluster 1,% Cluster 2,% Cluster 3
Zadar,HR,90.4119944563437,0.3905757843013733,4.447524253496283,4.749905505858637
,,86.32562715199214,0.0,5.902606984751599,7.771765863256272
Érd,HU,85.10279743849006,0.011234692731153803,1.988540613414223,12.897427255364565
Pescara,IT,82.04,0.0,6.140000000000001,11.82
Forlì,IT,75.33999999999999,0.0,17.34,7.32
Nitra,SK,72.82,0.15,6.78,20.25
Unirea,RO,72.17669398360982,0.0,8.894663202078751,18.928642814311413
Thalwil,CH,72.09302325581395,0.0,1.0465116279069768,26.86046511627907
Biel/Bienne,CH,68.58619416758953,0.1353512981419958,10.409745293466225,20.868709240802264
Rimini,IT,67.81,0.15,10.61,21.43
