cluster,bounds_fid,city_label,country,x,y,neighbors_within_600m
0,606,Valdemoro,ES,3156888.5289044636,2005974.2575394544,15
1,546,Zamora,ES,3011998.2775358004,2182511.1825031345,28
2,279,Žilina,SK,4958314.6,2937385.95,17
3,576,Baix Llobregat,ES,3652829.70270745,2061344.968005218,29
4,8,Narva linn,EE,5342672.5,4163966.85,7
5,127,Veenendaal,NL,4014711.0999999996,3222935.6,41
6,238,Tarnów,PL,5106833.9384014085,3049159.1424247427,15
7,611,Altamura,IT,4874997.9,1993328.85,23
