Country,% Cluster 1,% Cluster 2,% Cluster 3,% Cluster 4,% Cluster 5,% Cluster 6,% Cluster 7,% Cluster 8
IE,3.2388663967611335,52.0242914979757,5.060728744939271,3.9473684210526314,20.597165991902834,2.1255060728744937,0.8603238866396761,12.145748987854251
FR,3.360204927296014,42.82377759361109,8.826188502975967,10.807654637233481,19.053718074286145,4.279364122655014,2.633165071950576,8.215927069991713
DE,4.843506971921303,27.363767839113706,18.98927606625372,8.516386061614867,28.580784238819,2.2020902120228123,3.097115725707425,6.407072884547166
SK,7.334183673469388,15.943877551020408,25.7015306122449,6.887755102040815,25.0,2.295918367346939,10.650510204081632,6.186224489795919
CZ,5.718921111336442,17.460961265463396,21.395254512269315,9.328736564591361,28.35124721151896,2.6972216588927194,8.862299736361793,6.1853579395660105
PL,7.902650924482067,13.315883270216084,18.946313210069057,4.238137669859657,36.46691913566496,4.076631766540432,9.139006460236134,5.91445756293161
LU,10.084033613445378,21.84873949579832,22.268907563025213,19.747899159663866,16.386554621848738,0.8403361344537815,2.941176470588235,5.88235294117647
BE,2.2938285090114694,41.37083560895685,9.639541234298198,20.26215182960131,18.37793555434189,1.774986346258875,0.9830693610049154,5.297651556526488
PT,7.920077034183919,16.056812710640347,14.56427539720751,14.467982667308618,34.40057775637939,3.1054405392392876,4.7424169475204625,4.7424169475204625
NL,2.55794701986755,57.367549668874176,5.662251655629139,12.897350993377483,14.039735099337749,1.903973509933775,0.8609271523178808,4.710264900662252
