cluster,density_mean,netw_density_mean,mixed_use_mean
1,13776.446922430323,1372.8561,7.0022364
2,5764.218911903832,858.45703,2.483777
3,5461.479399038713,1025.737,3.4608343
4,12988.116815004347,1056.6703,3.4140596
5,4151.258081667391,799.4453,2.1091082
6,12117.54591261133,1261.1698,4.988162
7,7475.284623968226,1074.5477,4.062523
8,13160.218771509088,1058.3301,4.6136465
