bounds_fid,label,country,population,area_km2,n_flagged_categories,mean_zscore,flagged_categories
253,Amiens,FR,149696.47569145847,63.53996453979665,0,-0.16851164713467526,
181,Ost,DE,576826.8319088877,206.7997652050205,0,-0.8653209711169931,
180,Kielce,PL,164140.18867678844,59.131517679851996,0,-0.1307853791423805,
182,Vellmar,DE,201365.79789246985,98.87439794721965,0,-0.13305445820044162,
242,Plauen,DE,58024.563207461804,41.13724577474993,0,-0.10011008007209415,
241,Valenciennes,FR,121357.58805351777,74.36904641401202,0,-0.27064304943565093,
184,Antwerpen,BE,624673.4401727379,175.9766052996056,0,0.045267771039628875,
230,La Louvière,BE,102783.87775166749,70.7328099492655,0,-0.2923857376044871,
231,Sosnowiec,PL,80378.92908808588,47.26662732005081,0,-0.24692002727993517,
194,Gent,BE,263293.1070901274,105.68052396167765,0,0.4824783305367564,
232,Gießen,DE,75214.05262506125,45.36003685644356,0,0.00872602244609464,
233,Douai,FR,94282.15421211917,62.42495063533329,0,-0.24802839874427135,
234,Mons,BE,95613.15937853511,64.00113111007273,0,-0.3032975735898544,
193,Nord,DE,225539.74009572266,99.56907245614889,0,-0.2850435065015474,
235,Namur,BE,80326.07410217458,51.00113111007271,0,0.03549055079520817,
187,Görlitz,DE,75874.72299288462,45.40305852483966,0,-0.06758378661859955,
186,Elberfeld,DE,340487.49879911414,134.99218970649468,0,-0.4940704354991219,
236,Most,CZ,61106.96004742754,26.99227982256006,0,-0.15973425951631298,
185,Dunkerque,FR,134199.97093290073,70.2239221917663,0,-0.2824569835390189,
238,Tarnów,PL,85834.98406658033,36.360036856443564,0,-0.04416779642568628,
239,Charleroi,BE,244178.36098347424,133.68805368460053,0,-0.6433408033087362,
240,Jirkov,CZ,64281.86267838366,35.496784601344956,0,-0.1795286815765609,
228,Lens,FR,195803.3132787278,115.30310143600298,0,-0.6211274760658907,
196,Hilden,DE,281093.77740591276,141.88807972673763,0,-0.5415980603099256,
431,Lyon,FR,1188200.6257366505,285.5726757121986,1,-1.2971720614774123,religious
503,Toulouse,FR,722276.4702348061,271.5040117093093,1,-1.2193860203960156,religious
12,Langhus,NO,952186.3313137499,422.6030688390266,1,-1.0212869086397938,eat_and_drink
528,Marseille,FR,902204.2766995967,221.73970439349975,1,-1.237850023877385,retail
524,София,BG,1121633.5005894536,226.80946324695518,1,-0.8782368803889207,religious
138,Rotterdam,NL,941436.100801914,267.67514495703426,1,-0.9959308786117235,eat_and_drink
128,Łódź,PL,633748.3693913152,177.09951507953824,1,-0.9367079629579466,eat_and_drink
455,Bordeaux,FR,738916.9994308803,268.2884554891202,1,-0.961915149476945,religious
221,Lille,FR,999401.1387893748,322.85772102283397,2,-1.9004661472393058,"retail, religious"
15,Sjöberg,SE,1462756.0502032698,480.76158618120155,2,-1.32893740435534,"retail, religious"
51,Dublin,IE,1246189.5811164933,479.26546561503636,4,-1.8821708869161222,"business_and_services, public_services, retail, health_and_medical"
65,Hamburg-Mitte,DE,1693378.6191757347,532.52041053328,4,-1.605735585395265,"public_services, attractions_and_activities, religious, accommodation"
346,Schwabing-Freimann,DE,1663971.28281142,435.10481129881606,4,-0.9929846878156533,"public_services, eat_and_drink, attractions_and_activities, accommodation"
7,Helsinki,FI,1056200.8862588971,464.8689096913518,4,-1.382339757122229,"retail, health_and_medical, education, religious"
337,Mödling,AT,1950842.926009613,355.76071873692683,4,-1.210243543646557,"retail, eat_and_drink, education, accommodation"
92,Warszawa,PL,1889245.3255663957,457.3251107302292,4,-0.9724510202223017,"arts_and_entertainment, eat_and_drink, religious, accommodation"
624,Cascais e Estoril,PT,1791314.9075714587,468.7754302147515,5,-0.9735161379433557,"active_life, arts_and_entertainment, public_services, retail, health_and_medical"
440,Sector 1,RO,1922595.3779010954,343.85661313244395,5,-2.7007451916694554,"public_services, retail, eat_and_drink, religious, accommodation"
653,Άστυ Αιγυπτιωτών,GR,3296155.8204112635,505.1757839263525,6,-1.5522021037963147,"business_and_services, public_services, eat_and_drink, attractions_and_activities, religious, accommodation"
618,Napoli,IT,2866122.6199405417,781.5614673195772,8,-3.2843982722500864,"business_and_services, active_life, arts_and_entertainment, public_services, health_and_medical, eat_and_drink, education, attractions_and_activities"
601,Madrid,ES,4295641.234586207,534.4659281416526,9,-4.160402036223257,"business_and_services, active_life, public_services, retail, eat_and_drink, education, attractions_and_activities, religious, accommodation"
237,Katowice,PL,1148965.8660072424,448.86826239752105,9,-3.0018271636519014,"active_life, arts_and_entertainment, public_services, retail, health_and_medical, eat_and_drink, attractions_and_activities, religious, accommodation"
453,Milano,IT,3150317.808592334,850.9326378777059,9,-2.976934209927038,"business_and_services, active_life, arts_and_entertainment, public_services, health_and_medical, education, attractions_and_activities, religious, accommodation"
100,Mitte,DE,3585837.88244171,837.2526832381737,10,-3.8693362757101553,"business_and_services, active_life, arts_and_entertainment, public_services, retail, eat_and_drink, education, attractions_and_activities, religious, accommodation"
307,Palaiseau,FR,9773324.599915627,1835.9099116670106,11,-18.084102450379078,"business_and_services, active_life, arts_and_entertainment, public_services, retail, health_and_medical, eat_and_drink, education, attractions_and_activities, religious, accommodation"
170,Innenstadt West,DE,2946855.603165796,1199.343314425563,11,-7.02152403308918,"business_and_services, active_life, arts_and_entertainment, public_services, retail, health_and_medical, eat_and_drink, education, attractions_and_activities, religious, accommodation"
